"region_count","ratio_tumor_tissue","largest_tumor_area","longest_axis_largest_tumor","pixels_gt_90","avg_prediction","max_area","mean_area","area_variance","area_skew","area_kurt","max_perimeter","mean_perimeter","perimeter_variance","perimeter_skew","perimeter_kurt","max_eccentricity","mean_eccentricity","eccentricity_variance","eccentricity_skew","eccentricity_kurt","max_extent","mean_extent","extent_variance","extent_skew","extent_kurt","max_solidity","mean_solidity","solidity_variance","solidity_skew","solidity_kurt","label"
3.0,0.0,21.0,9.5,3.0,233.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.91,0.04,-1.8,1.57,1.0,1.0,0.0,0.0,-3.0,1
2.0,0.0,12.0,8.15,2.0,229.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.88,0.05,-1.5,0.59,1.0,1.0,0.0,0.0,-3.0,1
1.0,0.0,6.0,3.83,2.0,242.0,2.0,2.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1.0,0.92,0.04,-2.0,2.32,1.0,1.0,0.0,0.0,-3.0,1
3.0,0.0,84.0,24.49,3.0,233.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.91,0.04,-1.79,1.55,1.0,1.0,0.0,0.0,-3.0,1
1.0,0.0,2.0,2.83,1.0,240.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.95,0.02,-2.85,6.1,1.0,1.0,0.0,0.0,-3.0,1
2.0,0.0,9.0,5.39,2.0,229.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.95,0.02,-2.88,6.82,1.0,1.0,0.0,0.0,-3.0,1
1.0,0.0,4.0,6.32,2.0,238.0,2.0,2.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1.0,0.96,0.02,-3.29,9.7,1.0,1.0,0.0,0.0,-3.0,1
1.0,0.0,3.0,2.31,1.0,241.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.97,0.02,-3.56,11.16,1.0,1.0,0.0,0.0,-3.0,1
19.0,0.0,30.0,13.42,19.0,229.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.9,0.04,-1.66,1.11,1.0,1.0,0.0,0.0,-3.0,1
4.0,0.0,9.0,8.12,4.0,231.25,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.9,0.04,-1.67,1.0,1.0,1.0,0.0,0.0,-3.0,1
