"region_count","ratio_tumor_tissue","largest_tumor_area","longest_axis_largest_tumor","pixels_gt_90","avg_prediction","max_area","mean_area","area_variance","area_skew","area_kurt","max_perimeter","mean_perimeter","perimeter_variance","perimeter_skew","perimeter_kurt","max_eccentricity","mean_eccentricity","eccentricity_variance","eccentricity_skew","eccentricity_kurt","max_extent","mean_extent","extent_variance","extent_skew","extent_kurt","max_solidity","mean_solidity","solidity_variance","solidity_skew","solidity_kurt","label"
7.0,0.0,44.0,11.95,13.0,234.81,6.0,1.86,2.98,1.89,1.78,5.83,0.83,4.16,2.04,2.17,1.0,0.28,0.2,0.95,-1.1,1.0,0.91,0.04,-1.83,1.74,1.0,0.98,0.0,-2.04,2.17,1
5.0,0.0,16.0,7.22,6.0,232.0,2.0,1.2,0.16,1.5,0.25,0.0,0.0,0.0,0.0,-3.0,1.0,0.2,0.16,1.5,0.25,1.0,0.88,0.05,-1.42,0.35,1.0,1.0,0.0,0.0,-3.0,1
5.0,0.0,14.0,6.03,13.0,238.95,8.0,2.6,7.44,1.43,0.14,7.21,1.44,8.31,1.5,0.25,1.0,0.37,0.21,0.44,-1.77,1.0,0.92,0.03,-2.04,2.42,1.0,0.98,0.0,-1.5,0.25,1
11.0,0.0,105.0,23.49,21.0,235.81,6.0,1.91,2.63,1.56,1.03,6.04,0.97,3.57,1.86,2.02,0.97,0.26,0.18,1.02,-0.96,1.0,0.91,0.04,-1.74,1.29,1.0,0.94,0.01,-1.06,-0.81,1
5.0,0.0,9.0,8.08,5.0,232.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.95,0.03,-2.79,6.35,1.0,1.0,0.0,0.0,-3.0,1
1.0,0.0,4.0,6.32,2.0,238.0,2.0,2.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1.0,0.96,0.02,-3.29,9.7,1.0,1.0,0.0,0.0,-3.0,1
1.0,0.0,3.0,2.31,1.0,241.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.97,0.02,-3.56,11.16,1.0,1.0,0.0,0.0,-3.0,1
27.0,0.0,31.0,13.38,28.0,231.52,2.0,1.04,0.04,4.9,22.04,0.0,0.0,0.0,0.0,-3.0,1.0,0.04,0.04,4.9,22.04,1.0,0.9,0.04,-1.7,1.27,1.0,1.0,0.0,0.0,-3.0,1
4.0,0.0,9.0,8.12,4.0,231.25,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.9,0.04,-1.67,1.0,1.0,1.0,0.0,0.0,-3.0,1
39.0,0.04,162.0,23.48,302.0,237.03,133.0,7.74,479.32,4.87,24.58,85.94,5.14,228.51,4.12,18.27,1.0,0.35,0.21,0.53,-1.67,1.0,0.83,0.07,-1.0,-0.81,1.0,0.93,0.02,-2.02,2.77,1
2.0,0.0,3.0,3.27,2.0,235.0,1.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1.0,1.0,0.0,0.0,-3.0,1
